ds,population
1990-10-01,5316176000.0
1990-11-01,5316176000.0
1990-12-01,5316176000.0
1991-01-01,5406246000.0
1991-02-01,5406246000.0
1991-03-01,5406246000.0
1991-04-01,5406246000.0
1991-05-01,5406246000.0
1991-06-01,5406246000.0
1991-07-01,5406246000.0
1991-08-01,5406246000.0
1991-09-01,5406246000.0
1991-10-01,5406246000.0
1991-11-01,5406246000.0
1991-12-01,5406246000.0
1992-01-01,5492686300.0
1992-02-01,5492686300.0
1992-03-01,5492686300.0
1992-04-01,5492686300.0
1992-05-01,5492686300.0
1992-06-01,5492686300.0
1992-07-01,5492686300.0
1992-08-01,5492686300.0
1992-09-01,5492686300.0
1992-10-01,5492686300.0
1992-11-01,5492686300.0
1992-12-01,5492686300.0
1993-01-01,5577433600.0
1993-02-01,5577433600.0
1993-03-01,5577433600.0
1993-04-01,5577433600.0
1993-05-01,5577433600.0
1993-06-01,5577433600.0
1993-07-01,5577433600.0
1993-08-01,5577433600.0
1993-09-01,5577433600.0
1993-10-01,5577433600.0
1993-11-01,5577433600.0
1993-12-01,5577433600.0
1994-01-01,5660728000.0
1994-02-01,5660728000.0
1994-03-01,5660728000.0
1994-04-01,5660728000.0
1994-05-01,5660728000.0
1994-06-01,5660728000.0
1994-07-01,5660728000.0
1994-08-01,5660728000.0
1994-09-01,5660728000.0
1994-10-01,5660728000.0
1994-11-01,5660728000.0
1994-12-01,5660728000.0
1995-01-01,5743219700.0
1995-02-01,5743219700.0
1995-03-01,5743219700.0
1995-04-01,5743219700.0
1995-05-01,5743219700.0
1995-06-01,5743219700.0
1995-07-01,5743219700.0
1995-08-01,5743219700.0
1995-09-01,5743219700.0
1995-10-01,5743219700.0
1995-11-01,5743219700.0
1995-12-01,5743219700.0
1996-01-01,5825145300.0
1996-02-01,5825145300.0
1996-03-01,5825145300.0
1996-04-01,5825145300.0
1996-05-01,5825145300.0
1996-06-01,5825145300.0
1996-07-01,5825145300.0
1996-08-01,5825145300.0
1996-09-01,5825145300.0
1996-10-01,5825145300.0
1996-11-01,5825145300.0
1996-12-01,5825145300.0
1997-01-01,5906481000.0
1997-02-01,5906481000.0
1997-03-01,5906481000.0
1997-04-01,5906481000.0
1997-05-01,5906481000.0
1997-06-01,5906481000.0
1997-07-01,5906481000.0
1997-08-01,5906481000.0
1997-09-01,5906481000.0
1997-10-01,5906481000.0
1997-11-01,5906481000.0
1997-12-01,5906481000.0
1998-01-01,5987312600.0
1998-02-01,5987312600.0
1998-03-01,5987312600.0
1998-04-01,5987312600.0
1998-05-01,5987312600.0
1998-06-01,5987312600.0
1998-07-01,5987312600.0
1998-08-01,5987312600.0
1998-09-01,5987312600.0
1998-10-01,5987312600.0
1998-11-01,5987312600.0
1998-12-01,5987312600.0
1999-01-01,6067758600.0
1999-02-01,6067758600.0
1999-03-01,6067758600.0
1999-04-01,6067758600.0
1999-05-01,6067758600.0
1999-06-01,6067758600.0
1999-07-01,6067758600.0
1999-08-01,6067758600.0
1999-09-01,6067758600.0
1999-10-01,6067758600.0
1999-11-01,6067758600.0
1999-12-01,6067758600.0
2000-01-01,6148899000.0
2000-02-01,6148899000.0
2000-03-01,6148899000.0
