ds,Population
2012-06-01,7198616266.666667
2012-07-01,7205902766.666667
2012-08-01,7213432150.0
2012-09-01,7220961533.333333
2012-10-01,7228248033.333333
2012-11-01,7235777416.666667
2012-12-01,7243063916.666667
2013-01-01,7250593300.0
2013-02-01,7258102969.315068
2013-03-01,7264885896.438356
2013-04-01,7272395565.753425
2013-05-01,7279662987.671233
2013-06-01,7287172656.986301
2013-07-01,7294440078.90411
2013-08-01,7301949748.219178
2013-09-01,7309459417.534246
2013-10-01,7316726839.452055
2013-11-01,7324236508.767123
2013-12-01,7331503930.684932
2014-01-01,7339013600.0
2014-02-01,7346452224.109589
2014-03-01,7353170981.369863
2014-04-01,7360609605.479452
2014-05-01,7367808273.972603
2014-06-01,7375246898.082191
2014-07-01,7382445566.575342
2014-08-01,7389884190.684932
2014-09-01,7397322814.79452
2014-10-01,7404521483.287671
2014-11-01,7411960107.397261
2014-12-01,7419158775.890411
2015-01-01,7426597400.0
2015-02-01,7433975960.547945
2015-03-01,7440640466.849315
2015-04-01,7448019027.397261
2015-05-01,7455159569.863013
2015-06-01,7462538130.410959
2015-07-01,7469678672.876713
2015-08-01,7477057233.424658
2015-09-01,7484435793.972603
2015-10-01,7491576336.438356
2015-11-01,7498954896.986301
2015-12-01,7506095439.452055
2016-01-01,7513474000.0
2016-02-01,7520787653.825136
2016-03-01,7527629459.016394
2016-04-01,7534943112.84153
2016-05-01,7542020842.349727
2016-06-01,7549334496.174864
2016-07-01,7556412225.68306
2016-08-01,7563725879.508197
2016-09-01,7571039533.333333
2016-10-01,7578117262.84153
2016-11-01,7585430916.666667
2016-12-01,7592508646.174864
2017-01-01,7599822300.0
2017-02-01,7606953803.287671
2017-03-01,7613395161.09589
2017-04-01,7620526664.383562
2017-05-01,7627428119.178082
2017-06-01,7634559622.465754
2017-07-01,7641461077.260274
2017-08-01,7648592580.547945
2017-09-01,7655724083.835616
2017-10-01,7662625538.630137
2017-11-01,7669757041.917809
2017-12-01,7676658496.712329
