ds,Consumption
2004-08-01,127283.89692812048
2004-09-01,127606.49886756665
2004-10-01,127918.69429283716
2004-11-01,128241.29623228333
2004-12-01,128553.49165755382
2005-01-01,128876.093597
2005-02-01,129154.52832244658
2005-03-01,129406.01775188219
2005-04-01,129684.45247732877
2005-05-01,129953.90543743836
2005-06-01,130232.34016288494
2005-07-01,130501.79312299452
2005-08-01,130780.2278484411
2005-09-01,131058.66257388768
2005-10-01,131328.11553399728
2005-11-01,131606.55025944384
2005-12-01,131876.00321955344
2006-01-01,132154.437945
2006-02-01,132488.8043032411
2006-03-01,132790.8126268137
2006-04-01,133125.1789850548
2006-05-01,133448.75933173974
2006-06-01,133783.12568998084
2006-07-01,134106.70603666577
2006-08-01,134441.07239490686
2006-09-01,134775.43875314796
2006-10-01,135099.0190998329
2006-11-01,135433.385458074
2006-12-01,135756.96580475892
2007-01-01,136091.332163
2007-02-01,136189.79505192192
2007-03-01,136278.729274174
2007-04-01,136377.1921630959
2007-05-01,136472.47882979453
2007-06-01,136570.94171871644
2007-07-01,136666.22838541507
2007-08-01,136764.69127433698
2007-09-01,136863.1541632589
2007-10-01,136958.44082995752
2007-11-01,137056.90371887945
2007-12-01,137152.19038557808
2008-01-01,137250.6532745
2008-02-01,137058.21825795216
2008-03-01,136878.19840376228
2008-04-01,136685.76338721448
2008-05-01,136499.5359518456
2008-06-01,136307.1009352978
2008-07-01,136120.87349992894
2008-08-01,135928.43848338115
2008-09-01,135736.00346683332
2008-10-01,135549.77603146448
2008-11-01,135357.34101491666
2008-12-01,135171.11357954782
2009-01-01,134978.678563
2009-02-01,135475.37685447672
2009-03-01,135924.00756935892
2009-04-01,136420.70586083562
2009-05-01,136901.3816267808
2009-06-01,137398.07991825754
2009-07-01,137878.75568420274
2009-08-01,138375.45397567947
2009-09-01,138872.15226715617
2009-10-01,139352.8280331014
2009-11-01,139849.5263245781
2009-12-01,140330.2020905233
2010-01-01,140826.90038200002
2010-02-01,141087.50006769318
2010-03-01,141322.8804289644
2010-04-01,141583.48011465755
2010-05-01,141835.67335887672
2010-06-01,142096.27304456988
2010-07-01,142348.46628878906
2010-08-01,142609.0659744822
2010-09-01,142869.66566017535
2010-10-01,143121.85890439452
2010-11-01,143382.45859008766
2010-12-01,143634.65183430683
2011-01-01,143895.25152
2011-02-01,144050.01136257534
2011-03-01,144189.79444619178
2011-04-01,144344.5542887671
2011-05-01,144494.32187835616
2011-06-01,144649.08172093148
2011-07-01,144798.84931052054
2011-08-01,144953.60915309587
2011-09-01,145108.36899567122
2011-10-01,145258.13658526025
2011-11-01,145412.8964278356
2011-12-01,145562.66401742463
2012-01-01,145717.42385999998
2012-02-01,145883.51972811474
2012-03-01,146038.89973377046
2012-04-01,146204.99560188522
2012-05-01,146365.73353877047
2012-06-01,146531.82940688523
2012-07-01,146692.56734377047
2012-08-01,146858.66321188523
2012-09-01,147024.75908
2012-10-01,147185.49701688523
2012-11-01,147351.592885
2012-12-01,147512.33082188523
2013-01-01,147678.42669
2013-02-01,147765.63269742465
2013-03-01,147844.39941380822
2013-04-01,147931.60542123287
2013-05-01,148015.99833164384
2013-06-01,148103.2043390685
2013-07-01,148187.59724947944
2013-08-01,148274.8032569041
2013-09-01,148362.00926432878
2013-10-01,148446.40217473972
2013-11-01,148533.60818216437
2013-12-01,148618.00109257534
2014-01-01,148705.2071
2014-02-01,148775.4333670137
2014-03-01,148838.86354367124
2014-04-01,148909.08981068493
2014-05-01,148977.05071424658
2014-06-01,149047.27698126028
2014-07-01,149115.2378848219
2014-08-01,149185.4641518356
2014-09-01,149255.6904188493
2014-10-01,149323.65132241094
2014-11-01,149393.87758942464
2014-12-01,149461.83849298628
2015-01-01,149532.06475999998
2015-02-01,149642.85851284929
2015-03-01,149742.93028961643
2015-04-01,149853.72404246574
2015-05-01,149960.94380328766
2015-06-01,150071.73755613697
2015-07-01,150178.9573169589
2015-08-01,150289.7510698082
2015-09-01,150400.54482265754
