year,month,Monthly Anamoly,Monthly Unc.,city_num,DateTime
1860,4,9.901000000000002,1.002,0,1860-04-01
1860,5,13.786999999999999,1.923,0,1860-05-01
1860,6,19.724,0.841,0,1860-06-01
1860,7,23.217,1.86,0,1860-07-01
1860,8,24.35,0.719,0,1860-08-01
1860,9,21.314,0.871,0,1860-09-01
1860,10,12.363,2.277,0,1860-10-01
1860,11,3.085,1.716,0,1860-11-01
1860,12,-2.665,1.609,0,1860-12-01
1861,1,-7.079000000000001,1.859,0,1861-01-01
1861,2,-4.03,1.887,0,1861-02-01
1861,3,3.343,1.898,0,1861-03-01
1861,4,10.870000000000001,1.943,0,1861-04-01
1861,5,14.761,1.073,0,1861-05-01
1861,6,20.096999999999998,1.002,0,1861-06-01
1861,7,24.076,1.534,0,1861-07-01
1861,8,24.326,0.929,0,1861-08-01
1861,9,18.914,1.886,0,1861-09-01
1861,10,12.988,0.928,0,1861-10-01
1861,11,5.667,1.362,0,1861-11-01
1861,12,-2.58,1.455,0,1861-12-01
1862,1,-5.339,2.277,0,1862-01-01
1862,2,-3.558,2.431,0,1862-02-01
1862,3,2.683,1.741,0,1862-03-01
1862,4,9.239,1.963,0,1862-04-01
1862,5,15.786999999999999,1.472,0,1862-05-01
1862,6,20.825,1.243,0,1862-06-01
1862,7,23.699,1.256,0,1862-07-01
1862,8,23.803,1.983,0,1862-08-01
1862,9,19.573999999999998,0.977,0,1862-09-01
1862,10,12.862,1.259,0,1862-10-01
1862,11,3.887,1.912,0,1862-11-01
1862,12,-3.103,1.953,0,1862-12-01
1863,1,-3.017,2.673,0,1863-01-01
1863,2,-0.4770000000000001,3.35,0,1863-02-01
1863,3,4.162,1.103,0,1863-03-01
1863,4,8.950000000000001,1.478,0,1863-04-01
1863,5,14.808,1.808,0,1863-05-01
1863,6,21.012999999999998,1.269,0,1863-06-01
1863,7,25.7,1.776,0,1863-07-01
1863,8,24.511,1.495,0,1863-08-01
1863,9,18.829,1.29,0,1863-09-01
1863,10,12.087,1.015,0,1863-10-01
1863,11,5.266,1.743,0,1863-11-01
1863,12,-0.6479999999999999,1.97,0,1863-12-01
1864,1,-4.3469999999999995,2.84,0,1864-01-01
1864,2,-2.302,2.355,0,1864-02-01
1864,3,2.327,1.778,0,1864-03-01
1864,4,9.944,1.717,0,1864-04-01
1864,5,14.855,1.401,0,1864-05-01
1864,6,19.514,1.527,0,1864-06-01
1864,7,24.118,0.779,0,1864-07-01
1864,8,23.855,1.058,0,1864-08-01
1864,9,19.156,1.037,0,1864-09-01
1864,10,13.527999999999999,1.344,0,1864-10-01
1864,11,6.3069999999999995,2.17,0,1864-11-01
1864,12,-2.843,1.451,0,1864-12-01
1865,1,-3.324,1.663,0,1865-01-01
1865,2,-2.042,1.534,0,1865-02-01
1865,3,2.7830000000000004,1.131,0,1865-03-01
1865,4,10.680000000000001,1.427,0,1865-04-01
1865,5,16.059,1.077,0,1865-05-01
1865,6,20.393,1.003,0,1865-06-01
1865,7,23.376,1.339,0,1865-07-01
1865,8,24.821,1.029,0,1865-08-01
1865,9,20.445999999999998,1.057,0,1865-09-01
1865,10,13.344999999999999,1.291,0,1865-10-01
1865,11,4.66,2.813,0,1865-11-01
1865,12,-2.53,3.64,0,1865-12-01
1866,1,-4.687,3.129,0,1866-01-01
1866,2,-2.81,2.225,0,1866-02-01
1866,3,2.4530000000000003,3.051,0,1866-03-01
1866,4,8.914000000000001,1.586,0,1866-04-01
1866,5,14.479,1.582,0,1866-05-01
1866,6,19.523,0.923,0,1866-06-01
1866,7,24.3,1.201,0,1866-07-01
1866,8,24.461000000000002,1.047,0,1866-08-01
1866,9,18.758,1.693,0,1866-09-01
1866,10,13.734,0.905,0,1866-10-01
1866,11,6.066,1.431,0,1866-11-01
1866,12,-0.39099999999999996,1.251,0,1866-12-01
1867,1,-4.169,1.47,0,1867-01-01
1867,2,-3.377,3.132,0,1867-02-01
1867,3,3.95,1.859,0,1867-03-01
1867,4,9.96,1.111,0,1867-04-01
1867,5,15.181999999999999,0.854,0,1867-05-01
1867,6,19.785,1.119,0,1867-06-01
1867,7,24.446,1.436,0,1867-07-01
1867,8,24.53,1.104,0,1867-08-01
1867,9,19.244,1.693,0,1867-09-01
1867,10,14.35,0.922,0,1867-10-01
1867,11,7.006,2.596,0,1867-11-01
1867,12,1.0459999999999998,2.01,0,1867-12-01
1868,1,-3.0060000000000002,1.954,0,1868-01-01
1868,2,-1.462,1.455,0,1868-02-01
1868,3,2.745,1.654,0,1868-03-01
1868,4,10.704,1.06,0,1868-04-01
1868,5,15.024,1.352,0,1868-05-01
1868,6,19.819,0.781,0,1868-06-01
1868,7,24.645,0.587,0,1868-07-01
1868,8,23.398,0.721,0,1868-08-01
1868,9,19.644,0.641,0,1868-09-01
1868,10,14.052999999999999,1.274,0,1868-10-01
1868,11,5.694,1.136,0,1868-11-01
1868,12,-0.46099999999999997,1.529,0,1868-12-01
1869,1,-2.581,1.645,0,1869-01-01
1869,2,0.6249999999999998,1.76,0,1869-02-01
1869,3,3.25,1.44,0,1869-03-01
1869,4,8.673000000000002,1.065,0,1869-04-01
1869,5,15.802999999999999,0.64,0,1869-05-01
1869,6,20.25,0.714,0,1869-06-01
1869,7,23.348,1.275,0,1869-07-01
1869,8,23.666,0.929,0,1869-08-01
1869,9,20.254,0.918,0,1869-09-01
1869,10,14.747,1.387,0,1869-10-01
1869,11,5.794,0.781,0,1869-11-01
1869,12,-1.4809999999999999,1.813,0,1869-12-01
1870,1,-4.686,1.7,0,1870-01-01
1870,2,-2.2110000000000003,2.601,0,1870-02-01
1870,3,3.922,2.116,0,1870-03-01
1870,4,9.83,0.99,0,1870-04-01
1870,5,15.437999999999999,1.052,0,1870-05-01
1870,6,20.053,1.489,0,1870-06-01
1870,7,23.561,0.951,0,1870-07-01
1870,8,23.872,0.92,0,1870-08-01
1870,9,20.857,0.912,0,1870-09-01
1870,10,14.259,1.986,0,1870-10-01
1870,11,6.1899999999999995,1.547,0,1870-11-01
1870,12,-1.174,1.199,0,1870-12-01
1871,1,-4.371,0.785,0,1871-01-01
1871,2,-2.412,2.117,0,1871-02-01
1871,3,4.415,1.627,0,1871-03-01
1871,4,9.849,1.444,0,1871-04-01
1871,5,15.049999999999999,1.601,0,1871-05-01
1871,6,20.777,0.932,0,1871-06-01
1871,7,24.276,1.071,0,1871-07-01
1871,8,23.999,0.832,0,1871-08-01
1871,9,20.145,1.228,0,1871-09-01
1871,10,14.764999999999999,0.894,0,1871-10-01
1871,11,5.644,1.967,0,1871-11-01
1871,12,-2.039,0.755,0,1871-12-01
1872,1,-6.272,2.014,0,1872-01-01
1872,2,-2.7640000000000002,1.53,0,1872-02-01
